course_id,curriculum_id,is_required
4302112,sciences,True
4302401,sciences,True
440620,sciences,True
aga0215,sciences,True
gmg0630,sciences,True
mac0218,ia,False
mac0218,systems,False
mac0219,data,False
mac0219,systems,False
mac0300,theory_oti,False
mac0315,data,False
mac0315,theory_oti,False
mac0317,data,False
mac0318,ia,False
mac0320,theory_mat,False
mac0325,data,False
mac0325,theory_algo,False
mac0325,theory_oti,False
mac0327,theory_algo,False
mac0328,theory_algo,False
mac0331,theory_algo,False
mac0332,ia,False
mac0332,systems,False
mac0336,theory_algo,False
mac0343,theory_oti,False
mac0344,systems,False
mac0346,systems,False
mac0352,systems,False
mac0385,theory_algo,False
mac0413,ia,False
mac0413,systems,False
mac0414,ia,False
mac0414,theory_algo,False
mac0414,theory_mat,False
mac0418,theory_oti,False
mac0419,theory_oti,False
mac0425,ia,False
mac0426,data,False
mac0426,systems,False
mac0427,data,False
mac0427,theory_oti,False
mac0431,data,False
mac0436,theory_mat,False
mac0439,systems,False
mac0444,ia,False
mac0446,systems,False
mac0450,theory_algo,False
mac0450,theory_oti,False
mac0452,theory_oti,False
mac0459,ia,False
mac0459,systems,False
mac0460,data,False
mac0460,ia,False
mac0461,theory_oti,False
mac0463,systems,False
mac0465,theory_algo,False
mac0466,theory_algo,False
mac0467,systems,False
mac0470,systems,False
mac0472,ia,False
mac0472,systems,False
mac0473,theory_oti,False
mac0475,systems,False
mac0690,theory_mat,False
mac0691,theory_mat,False
mac0691,theory_oti,False
mac0692,theory_mat,False
mac0693,theory_mat,False
mac0775,theory_mat,False
mac0776,theory_mat,False
mac4722,pos_theory,False
mac5711,pos_theory,False
mac5714,pos_system,False
mac5722,pos_theory,False
mac5742,pos_system,False
mac5743,pos_system,False
mac5753,pos_system,False
mac5754,pos_system,False
mac5760,pos_system,False
mac5770,pos_theory,False
mac5771,pos_theory,False
mac5786,pos_system,False
mac5828,pos_theory,False
mac5853,pos_system,False
mac5861,pos_system,False
mac5910,pos_system,False
mac6711,pos_theory,False
mae0217,statistics,True
mae0221,data,False
mae0221,ia,False
mae0221,statistics,True
mae0221,theory_mat,False
mae0224,statistics,True
mae0224,theory_mat,False
mae0228,data,False
mae0228,statistics,True
mae0228,theory_mat,False
mae0311,statistics,True
mae0312,data,False
mae0312,statistics,True
mae0314,statistics,True
mae0315,statistics,True
mae0325,statistics,True
mae0326,statistics,True
mae0326,theory_mat,False
mae0328,statistics,True
mae0330,statistics,True
mae0399,statistics,True
mae0515,ia,False
mae0515,statistics,True
mae0532,statistics,True
mae0580,data,False
mat0206,theory_mat,False
mat0225,theory_mat,False
mat0234,theory_mat,False
mat0264,theory_mat,False
mat0265,theory_mat,False
mat0311,theory_mat,False
mat0349,ia,False
pcs3848,systems,False
pcs3858,systems,False
pcs3863,systems,False
qbq0104,sciences,True
qbq1252,sciences,True
qbq1354,sciences,True
